0-4,5--9,10--14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
56,79,93,131,125,122,112,105,112,108,63,65,63,38,26,40
62,133,125,191,185,161,149,131,146,127,115,90,75,48,36,73
74,132,120,147,158,155,172,114,133,113,94,75,66,66,59,66
82,128,121,199,170,168,133,118,124,126,108,88,79,63,39,100
95,130,167,165,185,172,165,155,150,131,125,89,75,56,47,81
71,118,135,214,172,161,131,128,136,109,110,90,84,71,36,65
56,96,101,106,112,107,106,97,88,84,88,69,60,42,30,44
59,107,136,185,148,172,147,122,114,120,90,107,62,53,43,51
91,170,184,253,217,211,164,143,160,174,117,94,92,78,61,79
128,209,233,338,252,237,197,180,198,184,189,148,106,84,73,102
99,174,241,312,238,237,200,210,194,213,159,133,104,97,65,124
111,215,236,288,268,244,217,189,188,214,151,140,107,89,69,88
133,203,237,261,246,244,218,193,198,181,132,146,106,100,64,91
72,133,146,179,150,147,140,143,136,131,114,88,79,65,52,108
130,226,230,293,248,265,267,262,222,239,178,151,108,88,74,96
156,227,347,426,355,351,273,250,275,251,192,163,152,128,77,108
221,349,410,467,410,368,330,306,316,252,210,184,142,122,112,125
183,269,360,382,459,338,273,278,269,247,238,167,151,126,81,163
176,331,349,407,401,375,333,256,284,245,188,175,158,153,87,117
239,317,389,419,380,335,299,270,257,231,206,164,150,100,80,128
116,179,212,253,235,214,196,173,183,187,152,141,110,103,51,120